Time,Category,Message,
5/18/2026 8:49:21 AM,Default,Vendor assembly 'NinjaTraderOptimizerProject' version='0.1.0.0' loaded.,
5/18/2026 8:49:21 AM,Default,Global simulation mode disabled,
5/18/2026 8:49:09 AM,Default,Session Break (Version 8.1.6.3),
5/18/2026 8:47:18 AM,Default,Workspace Main not saved,
5/18/2026 8:47:14 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Disconnected Price feed=Disconnected,
5/18/2026 8:47:14 AM,Connection,My Rithmic for NinjaTrader Brokerage: Primary connection=Disconnecting Price feed=Disconnecting,
5/18/2026 8:45:39 AM,Order,Order='2755743401/PA-APEX-41998-52' Name='Stop1' New state='Cancelled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='b6009b27c05646e683baadcd571f9296' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Strategy,Cancelling any remaining strategy orders,
5/18/2026 8:45:39 AM,Order,Order='2755747513/PA-APEX-41998-52' Name='Stop1' New state='Cancelled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='8ed23c3c9f9a491fb18122ac89000d02' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Order,Order='2755743401/PA-APEX-41998-52' Name='Stop1' New state='Cancel submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='b6009b27c05646e683baadcd571f9296' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Order,Order='2755743404/PA-APEX-41998-52' Name='Target1' New state='Filled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=29064 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='b6009b27c05646e683baadcd571f9296' Filled=1 Fill price=29064 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Strategy,Cancelling any remaining strategy orders,
5/18/2026 8:45:39 AM,Execution,Execution='1137292,
5/18/2026 8:45:39 AM,Order,Order='2755747519/PA-APEX-41998-52' Name='Target1' New state='Filled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=29064 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='8ed23c3c9f9a491fb18122ac89000d02' Filled=1 Fill price=29064 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Order,Order='2755747513/PA-APEX-41998-52' Name='Stop1' New state='Cancel submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='8ed23c3c9f9a491fb18122ac89000d02' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:39 AM,Execution,Execution='1134984,
5/18/2026 8:45:39 AM,Position,Instrument='MNQ 06-26' Account='PA-APEX-41998-52' Average price=29094.75 Quantity=1 Market position=Flat Operation=Remove,
5/18/2026 8:45:39 AM,Position,Instrument='MNQ 06-26' Account='PA-APEX-41998-52' Average price=29094.75 Quantity=1 Market position=Short Operation=Update,
5/18/2026 8:45:37 AM,Order,Order='2755747513/PA-APEX-41998-52' Name='Stop1' New state='Accepted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='8ed23c3c9f9a491fb18122ac89000d02' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:45:37 AM,Order,Order='2755743401/PA-APEX-41998-52' Name='Stop1' New state='Accepted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29077 Quantity=1 Type='Stop Market' Time in force=GTC Oco='b6009b27c05646e683baadcd571f9296' Filled=0 Fill price=0 Error='No error' Native error='',
