Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Playback101,PantheonMaster,Short,1,28271.50,28267.00,5/5/2026 6:47:01 PM,5/5/2026 6:50:21 PM,PantheonShort,PantheonShortStop,$90.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$455.00,$365.00,4,
2,NQ 06-26,Playback101,PantheonMaster,Long,1,28308.00,28324.00,5/5/2026 9:25:01 PM,5/5/2026 9:41:07 PM,PantheonLong,PantheonLongStop,$320.00,$410.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$530.00,$210.00,17,
3,NQ 06-26,Playback101,PantheonMaster,Short,1,28323.00,28332.25,5/6/2026 12:52:01 AM,5/6/2026 12:58:04 AM,PantheonShort,PantheonShortStop,($185.00),$225.00,$0.00,$0.00,$0.00,$0.00,$0.00,$185.00,$65.00,$250.00,7,
4,NQ 06-26,Playback101,PantheonMaster,Long,1,28361.75,28350.00,5/6/2026 2:09:01 AM,5/6/2026 2:11:16 AM,PantheonLong,PantheonLongStop,($235.00),($10.00),$0.00,$0.00,$0.00,$0.00,$0.00,$235.00,$55.00,$290.00,3,
5,NQ 06-26,Playback101,PantheonMaster,Short,1,28490.75,28507.25,5/6/2026 6:21:01 AM,5/6/2026 6:22:37 AM,PantheonShort,PantheonShortStop,($330.00),($340.00),$0.00,$0.00,$0.00,$0.00,$0.00,$460.00,$20.00,$350.00,2,
6,NQ 06-26,Playback101,PantheonMaster,Long,1,28541.75,28535.25,5/6/2026 8:54:01 AM,5/6/2026 8:56:27 AM,PantheonLong,Sell,($130.00),($470.00),$0.00,$0.00,$0.00,$0.00,$0.00,$160.00,$180.00,$310.00,3,
7,NQ 06-26,Playback101,PantheonMaster,Short,1,28665.50,28673.50,5/6/2026 4:33:01 PM,5/6/2026 4:46:08 PM,PantheonShort,PantheonShortStop,($160.00),($630.00),$0.00,$0.00,$0.00,$0.00,$0.00,$170.00,$85.00,$245.00,14,
8,NQ 06-26,Playback101,PantheonMaster,Long,1,28709.75,28700.25,5/6/2026 7:52:02 PM,5/6/2026 7:58:07 PM,PantheonLong,PantheonLongStop,($190.00),($820.00),$0.00,$0.00,$0.00,$0.00,$0.00,$190.00,$45.00,$235.00,7,
9,NQ 06-26,Playback101,PantheonMaster,Short,1,28725.25,28730.00,5/7/2026 3:05:01 AM,5/7/2026 3:07:48 AM,PantheonShort,PantheonShortStop,($95.00),($915.00),$0.00,$0.00,$0.00,$0.00,$0.00,$95.00,$285.00,$380.00,3,
10,NQ 06-26,Playback101,PantheonMaster,Long,1,28746.50,28744.00,5/7/2026 6:37:02 AM,5/7/2026 6:41:02 AM,PantheonLong,Sell,($50.00),($965.00),$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$215.00,$265.00,5,
11,NQ 06-26,Playback101,PantheonMaster,Short,1,28617.50,28642.00,5/7/2026 4:12:03 PM,5/7/2026 4:13:02 PM,PantheonShort,Buy to cover,($490.00),($1455.00),$0.00,$0.00,$0.00,$0.00,$0.00,$490.00,$15.00,$505.00,2,
