Instrument,Performance,Parameters,Total net profit,Gross profit,Gross loss,Profit factor,Max. drawdown,Total # of trades,Percent profitable,
NQ 06-26,99,True/0/0/1/0/5/400/300/False/False/10000/10000/10000/1/50/True/0.4/True/False/True/True/False/800/400/False/False/0.3/panthionIcon4.png/Oden2.png/Iron Aphrodite Hunter (Use_Time_Filter Start_Time_(HH) Start_Time_(mm) Duration_Time_(HH) Duration_Time_(mm) averageFast averageSlow averageTrend UseTrend UseTrendReverse ProfitStop LossStop MaxTrades Contracts MaxStop Use_MaxStop MaxTPRatio Use_MaxTP Long Short Reverse Use_Kill Kill_Profit_Stop Kill_Loss_Stop Show_Current_PNL Show_Stats_Box Image_Opacity Corner_Image Background_Image Bot_Name ),200,200,0,99,0,2,1,
,99,True/0/0/1/0/5/400/300/False/False/10000/10000/10000/1/50/True/0.4/True/False/True/False/False/800/400/False/False/0.3/panthionIcon4.png/Oden2.png/Iron Aphrodite Hunter (Use_Time_Filter Start_Time_(HH) Start_Time_(mm) Duration_Time_(HH) Duration_Time_(mm) averageFast averageSlow averageTrend UseTrend UseTrendReverse ProfitStop LossStop MaxTrades Contracts MaxStop Use_MaxStop MaxTPRatio Use_MaxTP Long Short Reverse Use_Kill Kill_Profit_Stop Kill_Loss_Stop Show_Current_PNL Show_Stats_Box Image_Opacity Corner_Image Background_Image Bot_Name ),200,200,0,99,0,2,1,
,99,True/0/0/1/0/5/400/300/False/False/10000/10000/10000/1/50/True/0.8/True/False/True/True/False/800/400/False/False/0.3/panthionIcon4.png/Oden2.png/Iron Aphrodite Hunter (Use_Time_Filter Start_Time_(HH) Start_Time_(mm) Duration_Time_(HH) Duration_Time_(mm) averageFast averageSlow averageTrend UseTrend UseTrendReverse ProfitStop LossStop MaxTrades Contracts MaxStop Use_MaxStop MaxTPRatio Use_MaxTP Long Short Reverse Use_Kill Kill_Profit_Stop Kill_Loss_Stop Show_Current_PNL Show_Stats_Box Image_Opacity Corner_Image Background_Image Bot_Name ),400,400,0,99,0,2,1,
,99,True/0/0/1/0/5/400/300/False/False/10000/10000/10000/1/50/True/0.6/True/False/True/True/False/800/400/False/False/0.3/panthionIcon4.png/Oden2.png/Iron Aphrodite Hunter (Use_Time_Filter Start_Time_(HH) Start_Time_(mm) Duration_Time_(HH) Duration_Time_(mm) averageFast averageSlow averageTrend UseTrend UseTrendReverse ProfitStop LossStop MaxTrades Contracts MaxStop Use_MaxStop MaxTPRatio Use_MaxTP Long Short Reverse Use_Kill Kill_Profit_Stop Kill_Loss_Stop Show_Current_PNL Show_Stats_Box Image_Opacity Corner_Image Background_Image Bot_Name ),300,300,0,99,0,2,1,
,99,True/0/0/1/0/5/400/300/False/False/10000/10000/10000/1/50/True/1.2/True/False/True/True/False/800/400/False/False/0.3/panthionIcon4.png/Oden2.png/Iron Aphrodite Hunter (Use_Time_Filter Start_Time_(HH) Start_Time_(mm) Duration_Time_(HH) Duration_Time_(mm) averageFast averageSlow averageTrend UseTrend UseTrendReverse ProfitStop LossStop MaxTrades Contracts MaxStop Use_MaxStop MaxTPRatio Use_MaxTP Long Short Reverse Use_Kill Kill_Profit_Stop Kill_Loss_Stop Show_Current_PNL Show_Stats_Box Image_Opacity Corner_Image Background_Image Bot_Name ),600,600,0,99,0,2,1,
